model,structure,n,seed,cpu_time,wall_time,departures,throughput,L,L_q,W
ForkJoin20Queue,fork_join,20,1,12.546875,12.643433599965647,7898,0.7898,1.9308704793811733,0.00423239944944445,2.444758773589736
ForkJoin20Queue,fork_join,20,2,12.0625,12.15228100004606,8037,0.8037,1.9555527038754186,0.00456131339008333,2.4331873881739687
ForkJoin20Queue,fork_join,20,3,12.59375,12.831868599983864,7940,0.794,1.93005049656814,0.007444573592944437,2.430794076282292
ForkJoin20Queue,fork_join,20,4,11.890625,12.155716100009158,7911,0.7911,1.9241344592661793,0.003740823526944444,2.43222659495156
ForkJoin20Queue,fork_join,20,5,12.0625,12.270729000098072,8079,0.8079,1.9647107641525148,0.008073444007833327,2.4318737023796446
ForkJoin20Queue,fork_join,20,6,11.953125,12.06287170003634,7947,0.7947,1.9423275542610368,0.004837300228166661,2.4441016160325115
ForkJoin20Queue,fork_join,20,7,11.5625,11.710262299980968,7944,0.7944,1.9274563088264727,0.004019030266444443,2.4263045176566878
ForkJoin20Queue,fork_join,20,8,12.3125,12.522370100021362,8128,0.8128,1.9642475027127246,0.009392187613555548,2.416643088967427
ForkJoin20Queue,fork_join,20,9,11.71875,11.797209199983627,8066,0.8066,1.9537436309326084,0.0074505184343333225,2.4221964182154827
ForkJoin20Queue,fork_join,20,10,12.015625,12.137750699999742,7929,0.7929,1.9299476311166448,0.0055214375567499896,2.434036613843668
ForkJoin20Queue,fork_join,20,11,11.578125,11.722621500026435,7996,0.7996,1.9425054758282876,0.0038772329570555676,2.429346518044382
ForkJoin20Queue,fork_join,20,12,11.625,11.77525169996079,7926,0.7926,1.9298926974422563,0.008876396800972212,2.4348885912720872
ForkJoin20Queue,fork_join,20,13,11.921875,12.064307100023143,7960,0.796,1.9311213861766394,0.007709369778222221,2.4260318921817077
ForkJoin20Queue,fork_join,20,14,11.984375,12.064351900015026,8019,0.8019,1.9587863047858114,0.006142161262416667,2.442681512390337
ForkJoin20Queue,fork_join,20,15,12.109375,12.316229999996722,8209,0.8209,1.9808292244996166,0.005482563843249994,2.412996984406891
ForkJoin20Queue,fork_join,20,16,12.109375,12.171274099964648,8065,0.8065,1.9615722221100511,0.005474781527972222,2.4322036231990714
ForkJoin20Queue,fork_join,20,17,12.78125,12.902809699997306,8198,0.8198,1.9807573317459322,0.005846327147249996,2.4161470257940136
ForkJoin20Queue,fork_join,20,18,12.46875,12.526216000085697,8044,0.8044,1.9638421015125178,0.006090180353777785,2.4413750640384357
ForkJoin20Queue,fork_join,20,19,11.9375,12.13894000009168,7979,0.7979,1.9389843260136943,0.004484128748555558,2.430109444809743
ForkJoin20Queue,fork_join,20,20,11.828125,11.976279400056228,7993,0.7993,1.9455105531855348,0.004793398931777784,2.4340179571944636
ForkJoin20Queue,fork_join,20,21,11.765625,11.89802010008134,7966,0.7966,1.9394793406315454,0.005734454277833325,2.4346966364945337
ForkJoin20Queue,fork_join,20,22,12.3125,12.41768040007446,8005,0.8005,1.9513746781598915,0.007220918801861108,2.4376947884570788
ForkJoin20Queue,fork_join,20,23,12.0625,12.208893400034867,7840,0.784,1.9208695488971272,0.007711012587333329,2.4500887103279685
